Writing	Readings	Meanings
群れる	むれる	[v1.; vi.] to crowd; to flock; to swarm
蒸す	むす	[v5su.; vt.] to steam (food) // [v5su.; vt.] to steam (food, towel, etc.) // [v5su.; vi.] to be hot and humid; to be sultry
原文	げんぶん	[n.; no-n.] the text; original
半分	はんぷん	[advn.; n.] half // [n.] half minute
思いっきり	おもいきり,おもいっきり	[adv.; n.] with all one's strength; with all one's heart; resignation; resolution
検定	けんてい	[n.; suru] official certification; approval; inspection // [abbr.] certification examination; licensing examination; licensure examination
羨ましい	うらやましい	[adj.; us. kana] envious (feeling, etc.); jealous // [us. kana] enviable (position, etc.)
類い	たぐい	[n.; us. kana] kind; sort; type // [n.] equal; match; peer
すら		[part.] even; if only; if just; as long as; the only thing needed
通じる	つうじる	[v1.; vi.] to be open (to traffic); to lead to; to communicate (with) // [n.] to flow (liquid, current); to pass; to get through to // [n.] to be understood; to be comprehended // [n.] to be honored; to be good // [n.] to be well versed in; to be well-informed // [n.] to communicate clandestinely; to keep in touch (e.g. with the enemy) // [n.] to form a liaison; to be intimate // [n.] to spread widely; to disseminate
合否	ごうひ	[n.] success or failure; result
受け止める	うけとめる	[v1.; vt.] to catch; to stop the blow // [n.] to react to; to take (advice, etc.); to accept; to come to grips with
合点	がてん,がってん	[n.; suru] consent; assent; understanding; agreement; comprehension; grasp
過去	かこ	[advn.; n.] the past; bygone days; the previous // [n.] a past (i.e. a personal history one would prefer remained secret); one's past // [n.] past (tense); preterit; preterite // [n.] previous life
遡る	さかのぼる	[v5ru.; vi.; us. kana] to go upstream // [us. kana] to go back (in time, to origin); to date back to; to trace back to; to make retroactive
参考	さんこう	[n.; no-n.] reference; consultation
一部	いちぶ	[advn.; n.] one part; one portion; one section; some // [n.] one copy (e.g. of a document)
抜き出す	ぬきだす	[v5su.; vt.] to pick out; to single out; to select // [n.] to extract; to draw out; to pull out; to distill
表	ひょう	[n.] surface // [n.] face (i.e. the visible side of an object) // [n.] front (of a building, etc.); obverse side (i.e. "head") of a coin // [n.] outside; exterior // [n.] appearance // [n.] public // [n.] first half (of an inning); top (of an inning) // [n.] cover (for tatami mats, etc.) // [n.] foreground // [n.; sufn.] table (e.g. Table 1); chart; list
表す	ひょうす	[v5su.; vt.] to represent; to signify; to stand for // [n.] to reveal; to show; to display // [n.] to express // [n.] to make widely known // [v5su.; vt.] to express; to show
馴染み	なじみ	[n.] intimacy; friendship; familiarity
遭遇	そうぐう	[n.; suru] encounter; being confronted with (e.g. difficulty); meeting with (e.g. accident)
まだまだ		[adv.; us. kana] still some way to go before the goal; still more to come; much more; not yet
諸国	しょこく	[n.; sufn.] various countries; various regions; various provinces
恐ろしい	おそろしい	[adj.] terrible; dreadful; terrifying; frightening; frightened // [n.] surprising; startling; tremendous; amazing
生命	せいめい	[n.] life; existence
向かう	むかう	[v5u.; vi.] to face // [n.] to go towards
他国	たこく	[n.; suru] foreign country; other country // [n.] another province // [n.] strange land; alien land
通過	つうか	[n.; suru] passage through (e.g. train skipping a station); transit // [n.] passing (e.g. exam, bill through parliament)
入国	にゅうこく,にゅうごく	[n.; suru] entry to a country
許す	ゆるす	[v5su.; vt.] to permit; to allow; to approve; to tolerate // [n.] to exempt (from fine); to excuse (from); to pardon; to forgive; to release; to let off // [n.] to confide in // [n.] to give up; to yield
法律	ほうりつ	[n.; no-n.] law
行動	こうどう	[n.; suru; no-n.] action; conduct; behaviour; behavior; mobilization; mobilisation
変わる	かわる	[v5ru.; vi.] to change; to be transformed; to be altered; to vary // [n.] to move to // [n.] to be different; to be uncommon; to be unusual
変る	かわる	[v5ru.; vi.] to change; to be transformed; to be altered; to vary // [n.] to move to // [n.] to be different; to be uncommon; to be unusual
鈍い	にぶい,のろい	[adj.] slow // [n.] late (e.g. "late at night") // [n.] too late // [arch.] dull; stupid // [adj.] dull (e.g. a knife); blunt // [n.] thickheaded; obtuse; stupid // [n.] dull (sound, color, etc.); dim (light) // [n.] slow; sluggish; inert; lethargic // [n.] indulgent (esp. to the opposite sex); doting
字	あざな	[n.; suffix] section of village // [n.] character (i.e. kanji) // [n.] hand-writing; penmanship // [n.] the ... word (i.e. "the L word" = "love") // [n.] Chinese courtesy name (name formerly given to adult Chinese men, used in place of their given name in formal situations) // [n.] nickname // [n.] section of a village
世界中	せかいじゅう,せかいちゅう	[n.; no-n.] around the world; throughout the world
本格	ほんかく	[n.] original method or procedure // [n./prenv.] serious; orthodox; classical; genuine
由来	ゆらい	[adv.; n.; suru] origin; source; history; derivation; reason; destiny
綴り	つづり	[n.] spelling // [n.] orthography // [n.] patching; binding
前回	ぜんかい	[advn.; tempn.] previous time; last time; previous installment; previous instalment; previous session
疑問	ぎもん	[n.] question; problem; doubt; guess
拝見	はいけん	[n.; suru; kenjougo; teineigo] seeing; look at
辿る	たどる	[v5ru.; vt.; us. kana] to follow (road); to pursue (course); to follow up; to follow (hyperlink)
勤務	きんむ	[n.; suru] service; duty; work
今後	こんご	[advn.; tempn.] from now on; hereafter
頻繁	ひんぱん	[adjn..] frequent; incessant
聞き手	ききて	[n.] hearer; listener; audience // [n.] interviewer; questioner
打ち明ける	ぶちあける	[v1.; vt.] to be frank; to speak one's mind; to open one's heart // [v1.; vt.] to forcefully open up a hole (in a wall, etc.) // [n.] to speak frankly, holding nothing back // [n.] to throw out everything inside
繋がり	つながり	[n.; us. kana] connection; link; relationship
纏める	まとめる	[v1.; vt.; us. kana] to collect; to put (it all) together; to integrate; to consolidate; to unify // [us. kana] to summarize; to aggregate // [us. kana] to bring to a conclusion; to finalize; to settle; to put in order // [us. kana] to establish; to decide
それはさておき		[phrase] apart from that; to return to the topic; enough of that
挟む	さしはさむ	[v5mu.; vt.] to interpose; to hold between; to insert // [n.] to be on either side (e.g. road); to be across (e.g. street, river); to be beyond // [v5mu.; vt.] to insert // [n.] to interrupt; to slip in a word // [n.] to harbor (e.g. doubts); to harbour; to entertain (e.g. a theory)
同様	どうよう	[no-n.; adjn..; n.] identical; equal to; same (kind); like; similarity
全体	ぜんたい	[advn.; tempn.] whole; entirety; whatever (is the matter)
音声	おんせい,おんじょう	[n.] voice; (the concept of) sound
帰宅	きたく	[n.; suru] returning home
気付き	きづき	[n.] awareness; realization
発表	はっぴょう	[n.; suru] announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling
明らか	あきらか	[adjn..; n.] obvious; evident; clear; plain
延々	えんえん	[taru adj.; to-adv.] forever; endlessly; on and on // [n.] meandering; wandering; winding; sinuous; serpentine; zigzagging
保存	ほぞん	[n.; suru] preservation; conservation; storage; saving (e.g. to disk); maintenance
師走	しわす,しはす	[n.] twelfth month (esp. of the lunar calendar); December
代名詞	だいめいし	[n.] pronoun // [n.] synonym; classic example; pattern; byword; representative
夜勤	やきん	[n.] night shift
心境	しんきょう	[n.] mental state
生きる	いきる	[v1.; vi.] to live; to exist // [n.] to make a living; to subsist // [n.] to be in effect; to be in use; to function // [n.] to come to life; to be enlivened // [n.] to be safe (in baseball, go, etc.)
生きていかれない	いきていかれない	[phrase] can't survive (without ...)
～何て		
見付ける	みつける,みっける	[v1.; vt.] to discover; to find (e.g. an error in a book); to come across; to detect; to spot // [n.] to locate; to find (e.g. something missing); to find fault // [n.] to be used to seeing; to be familiar with
見付かる	みつかる	[v5ru.; vi.] to be found; to be discovered
悟る	さとる	[v5ru.; vt.] to perceive; to sense; to discern // [n.] to understand; to comprehend; to realize // [n.] to attain enlightenment
曲名	きょくめい	[n.] song title; song titles
歌手	かしゅ	[n.] singer
作詞	さくし	[n.; suru] (writing) song lyrics
作曲	さっきょく	[n.; suru] composition; setting (of music)
本年	ほんねん	[advn.; tempn.] this (current) year
新年	しんねん	[advn.; tempn.] New Year
半年	はんとし,はんねん	[advn.; tempn.] half year
年内	ねんない	[n.] by the end of the year
難民	なんみん	[n.] refugee; displaced person // [slang] person unable to achieve some goal (marriage, shopping, etc.)
普段	ふだん	[no-n.] usual; habitual; ordinary; everyday; always
語学	ごがく	[n.] language study
休憩	きゅうけい	[n.; suru] rest; break; recess; intermission
数日	すうじつ	[n.] few days
以前	いぜん	[advn.; tempn.] ago; since; before; previous
在宅	ざいたく	[n.; suru; no-n.] being in; being at home
転職	てんしょく	[n.; suru] change of occupation
機	き	[n.] loom // [n.] chance; opportunity // [n.; sufn.] machine // [n.] aircraft // [cnt.] counter for aircraft // [n.] counter for remaining lives (in video games)
形	けい	[n.] form; shape; figure // [n.] visage // [n.; suffix] shape; appearance // [n.] collateral // [n.] obverse of an old "zeni" coin // [n.; no-n.; us. kana] style; way; shape; form; appearance; state // [suffix] form; tense // [n.; abbr.] adjective; i-adjective (in Japanese)
性能	せいのう	[n.] ability; performance; efficiency
近々	ちかぢか,きんきん	[advn.; tempn.] soon; nearness; before long
開催	かいさい	[n.; suru] holding a meeting; open an exhibition
都市	とし	[n.; no-n.] town; city; municipal; urban
立候補	りっこうほ	[n.; suru] announcing candidacy; becoming a candidate; bidding (to host an event e.g. Olympics, World Cup)
騒ぎ出す	さわぎだす	[v5su.] to start making a noise; to start making an uproar; to go beserk
知識	ちしき	[n.] knowledge; information
中々	なかなか	[adv.; adjn..; us. kana] very; considerably; easily; readily; fairly; quite; highly; rather // [adv.; us. kana] by no means (with negative verb); not readily // [n.] middle; half-way point // [no-n.; us. kana] excellent; wonderful; very good
参る	まいる	[v5ru.; vi.; kenjougo; us. kana] to go; to come; to call // [n.] to be defeated; to collapse; to die // [n.] to be annoyed; to be nonplussed // [n.] to be madly in love // [n.] to visit (shrine, grave)
海岸	かいがん	[n.; no-n.] coast; beach
写る	うつる	[v5ru.; vi.] to be photographed; to be projected
載る	のる	[v5ru.; vi.] to be placed on; to be set on; to be piled on; to be loaded on // [n.] to appear (in print); to be mentioned; to be recorded; to be reported; to be given
予め	あらかじめ	[adv.; n./prenv.; us. kana] beforehand; in advance; previously
下調べ	したしらべ	[n.; suru] preliminary investigation; preparation
姿	すがた	[n.] figure; form; shape // [n.] appearance; dress; guise // [n.] state; condition; picture; image // [n.] form (of a waka) // [sufn.] dressed in ...; wearing ...
見かける	みかける	[v1.; vt.] to (happen to) see; to notice; to catch sight of
乗せる	のせる	[v1.; vt.] to place on (something) // [n.] to give (someone) a ride; to give a lift; to pick up; to help on board // [n.] to load (luggage); to carry; to take on board // [n.] to send out (on the airwaves, etc.) // [n.] to deceive; to take for a ride // [n.] to (sing) along with (musical accompaniment) // [n.] to let (someone) take part // [n.] to excite (someone) // [n.] to publish (an article); to run (an ad)
訳す	やくす	[v5su.; vt.] to translate; to interpret
不思議	ふしぎ	[adjn..; n.] wonder; miracle; strange; mystery; marvel; curiosity
感覚	かんかく	[n.; suru] sense; sensation; feeling; intuition
性	しょう	[n.] one's nature; one's destiny // [n.] custom; tradition; habit // [n.] nature (of a person) // [n.] sex // [n.] gender // [suffix] -ty; -ity; -ness; -cy // [n.; sufn.] nature (of a person or thing) // [n.] that which does not change according to external influences
胃腸	いちょう	[adjn..; n.; no-n.] stomach; gastrointestine
炎	えん	[n.] flame; blaze // [n.] flames (of intense emotion, e.g. love, jealousy, anger); passion // [suffix] -itis (indicating an inflammatory disease)
当たる	あたる	[v5ru.; vi.] to be hit; to strike // [n.] to touch; to be in contact; to be affixed // [n.] to be equivalent to; to be applicable; to apply to // [n.] to be right on the money (of a prediction, criticism, etc.) // [n.] to be selected (in a lottery, etc.); to win // [n.] to be successful; to go well; to be a hit // [n.] to face; to confront // [n.] to lie (in the direction of) // [n.] to undertake; to be assigned // [n.] to be stricken (by food poisoning, heat, etc.); to be afflicted // [n.] to be called upon (by the teacher) // [n.] to treat (esp. harshly); to lash out at // [n.] to be unnecessary // [n.] to be hitting well; to be on a hitting streak // [n.] (in fishing) to feel a bite // [n.] (of fruit, etc.) to be bruised; to spoil // [v5ru.; vt.] to feel (something) out; to probe into; to check (i.e. by comparison) // [n.] to shave // [n.] to be a relative of a person; to stand in a relationship
熱意	ねつい	[n.] zeal; enthusiasm
下がる	さがる	[v5ru.; vi.] to come down; to go down; to fall; to drop; to sink; to get lower // [n.] to hang; to dangle // [n.] to move back; to step back; to withdraw; to retire // [n.] to deteriorate; to fall off; to be downgraded // [n.] to get closer to the present day // [n.] to go south
比べる	くらべる	[v1.; vt.] to compare; to make a comparison // [n.] to compete; to vie
英文	えいぶん	[n.] sentence in English; article in English; English text // [abbr.] English literature (study of)
自問	じもん	[n.; suru] asking oneself
進歩	しんぽ	[n.; suru] progress; advance; improvement; development
強化	きょうか	[n.; suru] strengthen; intensify; reinforce; solidify; enhancement
国会	こっかい	[n.; no-n.; abbr.] National Diet; parliament; congress
議事堂	ぎじどう	[n.] assembly hall; parliament house; diet building; capitol; houses of parliament; congress hall
古城	こじょう	[n.] old castle; old fortress
旧跡	ふるあと,きゅうせき,こせき	[n.] historic spot; historic remains; ruins
河川	かせん	[n.] rivers
地元	じもと	[n.] home area; home town // [no-n.] local
河口	かこう,かわぐち	[n.; no-n.] mouth of river; estuary
三脚	さんきゃく	[n.; no-n.] tripod; three legs
積む	つむ	[v5mu.] to pile up; to stack // [n.] to load (car, ship, etc.); to pack // [n.] to acquire; to accumulate
走り回る	はしりまわる	[v5ru.; vi.] to run around
挿し絵	さしえ	[n.] illustration (e.g. book); picture
沿い	ぞい	[suffix] along
異国	いこく	[n.; no-n.] foreign country
情緒	じょうちょ,じょうしょ	[n.; no-n.] emotion; feeling // [n.] atmosphere; mood; spirit
たっぷり		[adv.; to-adv.; n.; no-n.; adjn..; ono.] full; in plenty; ample
純粋	じゅんすい	[adjn..; no-n.] pure; true; genuine; unmixed
世紀	せいき	[n.] century; era
番外	ばんがい	[n.] exception; supernumerary; extra (theatrical) // [no-n.] extra (e.g. performance, item, object, etc.); additional // [n.] outsize
人妻	ひとづま	[n.] married woman // [n.] another's wife
欧州	おうしゅう	[n.] Europe
魅了	みりょう	[n.] fascination // [suru] to charm; to fascinate; to mesmerize
奥様	おくさま	[n.; teineigo] wife; your wife; his wife; married lady; madam
長々	ながなが	[to-adv.; adv.] long; drawn-out; very long
独身	どくしん	[n.; no-n.] bachelorhood; single; unmarried; celibate
毒	どく	[n.] poison; toxicant // [n.] harm; evil influence // [n.] ill will; spite; malice // [abbr.] abusive language
毒性	どくせい	[adjn..; n.; no-n.] toxicity; toxic; virulence; virulent
当てはまる	あてはまる	[v5ru.] to apply (a rule); to be applicable; to come under (a category); to fulfill
手にする	てにする	[phrase; vsuruirr.] to hold (in one's hand); to take (into one's hand) // [n.] to own; to obtain
うんざり	うんざり,ウンザリ	[suru; adv.; n.; ono.] tedious; boring; being fed up with
意志	いし	[n.] will; volition; intention; intent; determination
堕落	だらく	[n.; suru] depravity; corruption; degradation
自堕落	じだらく	[adjn..; n.] depravity; self-indulgence
人間	じんかん	[n.] human being; person; man; mankind; humankind // [n.] character (of a person) // [n.] the world
褒める	ほめる	[v1.; vt.] to praise; to admire; to speak well of someone
主語	しゅご	[n.; no-n.] subject
目的語	もくてきご	[n.] object
一般	いっぱん	[n.; no-n.; adjn..] general; universal // [n.] ordinary; average; common
一般論	いっぱんろん	[n.] prevailing view; common opinion; general consideration
省略	しょうりゃく	[n.; suru] omission; abbreviation; abridgment; abridgement
歯切れ	はぎれ	[n.] feel when biting // [n.] manner of enunciation
嫌悪	けんお	[n.; suru; no-n.] disgust; hate; repugnance
自己嫌悪	じこけんお	[n.; no-n.; yojijukugo] self-hatred; self-abhorrence; self-loathing
陥る	おちいる	[v5ru.; vi.] to fall into (e.g. a hole) // [n.] to fall into (chaos, depression, dilemma, illness, etc.) // [n.] to fall into (a trap, etc.) // [n.] to fall; to surrender; to capitulate
硬い	かたい	[adj.] hard; solid; tough // [n.] stiff; tight; wooden; unpolished (e.g. writing) // [n.] strong; firm (not viscous or easily moved) // [n.] safe; steady; honest; steadfast // [n.] obstinate; stubborn // [n.] bookish; formal; stuffy
飽きる	あきる	[v1.; vi.] to get tired of; to lose interest in; to have enough
適切	てきせつ	[adjn..; n.] pertinent; appropriate; adequate; relevance
直感	ちょっかん	[n.; suru; no-n.] intuition; instinct; insight; hunch; immediacy
最低	さいてい	[adjn..; adv.; n.; no-n.] least; lowest; worst // [n.] nasty; disgusting; horrible; yuck!
文脈	ぶんみゃく	[n.] context
上記	じょうき	[n.; no-n.] above-mentioned; above-named; above
略して	りゃくして	[phrase] for short
早春	そうしゅん	[advn.; n.] early spring
反発	はんぱつ	[n.; suru] opposition; rebellion; revolt; resistance; backlash; refusal // [n.] rebounding; recoiling; repulsion // [n.] rally (e.g. in stock prices); recovery
別れる	わかれる	[v1.; vi.] to be divided; to part from; to separate (usu. for people); to bid farewell
彼氏	かれし	[pron.; no-n.] boyfriend
洋介		
智子		
求人	きゅうじん	[n.; suru] offer of job (situation)
面接	めんせつ	[n.; suru] interview (e.g. for a job)
筆記	ひっき	[n.; suru; no-n.] (taking) notes; copying
審査	しんさ	[n.; suru] judging; inspection; examination; investigation; review
研修	けんしゅう	[n.; suru] training (esp. in-service); induction course
経る	へる	[v1.; vi.] to pass; to elapse; to go by // [n.] to pass through; to go through // [n.] to experience; to go through; to undergo
模擬	もぎ	[n.; no-n.] imitation; sham; mock // [n.] simulation
求人広告	きゅうじんこうこく	[n.; no-n.] help wanted advertisements
筆記試験	ひっきしけん	[n.] written examination
人類	じんるい	[n.] mankind; humanity
規制	きせい	[n.; suru] regulation; (traffic) policing; control; restriction
と共に	とともに	[phrase; us. kana] together with; as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)
新着	しんちゃく	[n.; no-n.; suru] new arrivals; new acquisitions
かなり		[no-n.; adjn..; adv.; us. kana] considerably; fairly; quite
引き換え	ひきかえ	[n.] exchange; conversion
引き替え	ひきかえ	[n.] exchange; conversion
引き返す	ひきかえす	[v5su.; vt.] to turn back; to go back; to repeat; to send back; to bring back; to retrace one's steps
避ける	さける,よける	[v1.; vt.] to avoid (physical contact with) // [n.] to avoid (situation) // [v1.] to ward off; to avert
無理矢理	むりやり	[adv.; n.; yojijukugo] forcibly; against one's will
徹夜	てつや	[n.; suru; no-n.] all night; all-night vigil; sleepless night
成るべく	なるべく	[adv.; us. kana] as much as possible; wherever practicable
落書き	らくがき	[n.; suru] scrawl; scribble; graffiti
頂戴	ちょうだい	[n.; suru; kenjougo] receiving; reception; getting; being given // [kenjougo] eating; drinking; having // [phrase; fam.; fem.; us. kana] please; please do for me
目次	もくじ	[n.] table of contents
概要	がいよう	[n.] outline; summary; overview; abridgment; synopsis
版	はん,ばん	[n.; sufn.] edition; version; printing; impression; implementation (e.g. software) // [n.] plate; block; cast // [cnt.] editions of a publication
集	しゅう	[sufn.] collection; compilation
作成	さくせい	[n.; suru] drawing up (e.g. legal document, contract, will, etc.); preparing; writing; framing; making; producing; creating; creation
初旬	しょじゅん	[advn.; n.] first 10 days of the month
認定	にんてい	[n.; suru] authorization; authorisation; acknowledgment; acknowledgement; certification; recognition
目安	めやす	[n.] criterion; standard; yardstick; reference; aim // [n.] rough estimate; approximation
級	きゅう	[n.; sufn.; cnt.] class (e.g. school); grade; rank
旧	もと	[n.; pref.] ex-; former; old // [n.] used item; secondhand item // [prefn.] old; used; previous // [n.; no-n.; advn.; prefn.] former; ex-; past; one-time
日常的	にちじょうてき	[adjn..] mundane; routine; everyday; unremarkable; common; day-to-day
科目	かもく	[n.] (school) subject; curriculum; course
語彙	ごい	[n.; no-n.] vocabulary; lexicon; lexis; terminology
判定	はんてい	[n.; suru] judgement; judgment; decision; adjudication; award; verdict; determination
お知らせ	おしらせ	[n.; suru] notice; notification
案内	あんない	[n.] information; guidance; leading // [suru] to guide; to show (around); to conduct
日時	にちじ	[n.] date and time
例外	れいがい	[n.; no-n.] exception
場面	ばめん	[n.; no-n.] scene; setting (e.g. of novel)
程度	ていど	[n.; advn.; sufn.] degree; amount; grade; standard; of the order of (following a number); about; approximately
独立	どくりつ	[adjn..; n.; suru] independence (e.g. Independence Day); self-support
行政	ぎょうせい	[n.; no-n.] administration
法人	ほうじん	[n.] corporate body; corporation; (legal) person; (juridical) person
祭	まつり	[n.] festival; feast
団	だん	[n.] body; group; party; company; troupe
教育	きょういく	[n.; no-n.; suru] training; education
独立行政法人	どくりつぎょうせいほうじん	[n.] independent administrative corporation (institution, agency)
基金	ききん	[n.; no-n.] fund; foundation
交流	こうりゅう	[n.; suru] (cultural) exchange; interchange; interaction; (inter-) mingling; (social, etc.) networking; intercourse // [n.] alternating current; AC
国際交流基金		
協会	きょうかい	[n.] association; society; organization; organisation
米印	こめじるし	[n.] rice symbol; note (supplementary information) symbol; symbol with an "x" and four dots
天文学	てんもんがく	[n.] astronomy
宇宙開発	うちゅうかいはつ	[n.] space development
歓迎	かんげい	[n.; suru; no-n.] welcome; reception
大歓迎	だいかんげい	[n.] warm welcome
接尾辞	せつびじ	[n.] suffix
硫黄	いおう,ゆおう	[n.; no-n.] sulfur (S); sulphur
飼う	かう	[v5u.; vt.] to keep (a pet or other animal); to raise; to have; to own; to feed
一寸	ちょっと,ちょと,チョット,ちょいと,チョッと	[n.] one sun (approx. 3.03 cm) // [n.] a little bit (of time, distance, etc.) // [adv.; us. kana] just a minute; short time; just a little // [us. kana] somewhat; easily; readily; rather // [us. kana] (will not) easily // [interj.; us. kana] hey!
程	ほど	[advn.; n.; us. kana] degree; extent; bounds; limit // [part.; us. kana] indicates approx. amount or maximum; upper limit
残響	ざんきょう	[n.] reverberation; echo
残業	ざんぎょう	[n.; suru] overtime (work)
吹き替え	ふきかえ	[n.; suru] dubbing; stand-in; dummy
分割	ぶんかつ	[n.; suru] partition; division; separation; segmenting; splitting
奴	やつこ,つぶね,やつこらま	[n.] servant (esp. a samurai's attendant) // [n.] chivalrous man (c. Edo period) // [abbr.] cubed tofu (often served cold) // [abbr.] kite shaped like a footman // [abbr.] Edo-period hairstyle worn by samurai's attendants // [n.] enslavement (of a woman; Edo-period punishment for her own or her husband's crime) // [pron.; arch.; der.] he; she; him; her // [pron.; no-n.; us. kana; der.] fellow; guy; chap // [coll.] thing; object // [n.] (derogatory or familiar) he; she; him; her // [suffix; us. kana; der.] derogatory suffix (referring to others) // [kenjougo] humble suffix (referring to oneself) // [n.; arch.] slave // [n.] retainer; servant // [n.] captive // [der.] varlet // [kenjougo] I; me
さっさと		
込む	こむ	[v5mu.; vi.] to be crowded; to be packed // [n.] to be complex // [auxv.] to go into; to put into; to remain (seated); to be plunged into (silence); to do thoroughly // [n.] to do intently // [n.] to continue in the same state
一体	いったい	[adv.] ...the heck (e.g. "what the heck?"); ...in the world (e.g. "why in the world?"); ...on earth (e.g. "who on earth?") // [n.] one object; one body; unity // [n.] one form; one style // [n.] one Buddhist image (or carving, etc.) // [advn.] generally; in general
俺	おれ,おらあ,おり	[pron.; no-n.; male] I; me
怠ける	なまける	[v1.; vi.] to be idle; to slacken // [v1.; vt.] to neglect (e.g. one's work)
空く	あく	[v5ku.; vi.] to become less crowded; to thin out; to get empty // [n.] to be hungry // [v5ku.; vi.] to open (e.g. doors) // [n.] to open (e.g. business, etc.) // [n.] to be empty // [n.] to be vacant; to be available; to be free // [n.] to be open (e.g. neckline, etc.) // [n.] to have been opened (of one's eyes, mouth, etc.) // [n.] to come to an end // [v5ku.; vt.] to open (one's eyes, mouth, etc.) // [v5ku.; vi.] to have a hole; to form a gap; to have an interval (between events)
長時間	ちょうじかん	[advn.; tempn.] long period of time; long playing
何回	なんかい	[n.] how many times?
感染	かんせん	[n.; suru; no-n.] infection; contagion
感染する		
休日	きゅうじつ	[advn.; n.] holiday; day off
遣り取り	やりとり	[n.; suru; us. kana] giving and taking; exchange (of letters); arguing back and forth; (conversational) exchange
他人行儀	たにんぎょうぎ	[adjn..; n.; yojijukugo] standing on formality; in a reserved manner; treating a friend as a stranger; unduly distant; formal
祖父母	そふぼ	[n.] grandparents
目上	めうえ	[n.] superior; superiors; senior
物理	ぶつり	[n.; no-n.] physics; law of nature
精神	せいしん	[n.] mind; soul; heart; spirit; intention
距離	きょり	[n.] distance; range
暫く	しばらく,しゅゆ,すゆ	[adv.; no-n.; us. kana] little while; short while; moment; instant // [us. kana] a while; quite a time // [interj.; us. kana] it's been a long time
親しい	ちかしい	[adj.] intimate; close (e.g. friend) // [adj.] intimate; close
追伸	ついしん	[n.] postscript; P.S.; PS
間柄	あいだがら	[n.] relation(ship)
語尾	ごび	[n.] (inflected) end of a word; end of a sentence
親しみ	したしみ	[n.] intimacy; affection; familiarity
ユーザ名		
変更	へんこう	[n.; suru] change; modification; alteration; revision; amendment
変更する		
気楽	きらく	[adjn..; n.] carefree; comfortable; at ease // [n.] easygoing; happy-go-lucky
気遣い	きづかい	[n.] consideration; concern; fear; worry; solicitude
社員	しゃいん	[n.] company employee // [n.] company stockholders (esp. in legal contexts); members of a corporation
山道	やまみち,さんどう,せんどう	[n.] mountain road; mountain trail
日食	にっしょく	[n.] solar eclipse
越える	こえる	[v1.; vt.] to cross over; to cross; to pass through; to pass over (out of) // [n.] to exceed
超える	こえる	[v1.; vt.] to cross over; to cross; to pass through; to pass over (out of) // [n.] to exceed
不可能	ふかのう	[adjn..; n.] impossible
あらゆる		[pren.; us. kana] all; every
有らゆる	あらゆる	[pren.; us. kana] all; every
含む	ふくむ,くくむ	[v5mu.; vt.] to contain; to comprise; to have; to hold; to include; to embrace // [n.] to hold in the mouth // [n.] to bear in mind; to understand; to harbor (grudge, etc.); to harbour // [n.] to express (emotion, etc.); to imply
領収証	りょうしゅうしょう	[n.] receipt
限界	げんかい	[n.; no-n.] limit; bound
勝つ	かつ	[v5tsu.; vi.] to win; to gain victory
個人	こじん	[n.; no-n.] individual; private person; personal; private
彼奴	あいつ,きゃつ,かやつ,あやつ	[pron.; no-n.; us. kana; coll.] he; she; that guy
小説	しょうせつ	[n.; no-n.] novel; (short) story
人工知能	じんこうちのう	[n.] artificial intelligence; AI
研究	けんきゅう	[n.; suru] study; research; investigation
物語	ものがたり	[n.; suru; no-n.] tale; story; legend
文学賞	ぶんがくしょう	[n.] literary prize
人工	じんこう	[n.; no-n.] artificial; man-made; human work; human skill; artificiality
爆発	ばくはつ	[n.; suru] explosion; detonation; eruption
国際空港	こくさいくうこう	[n.] international airport
亡い	ない	[adj.] dead
爆弾	ばくだん,バクダン	[n.] bomb // [us. kana] alcohol with liquor added (esp. wine-based shochu highball, also beer with whiskey)
関係	かんけい	[n.; suru; no-n.] relation; relationship; connection // [n.] participation; involvement; concern // [n.] influence; effect // [n.; suru] sexual relations; sexual relationship // [sufn.] related to ...; connected to ...
原発	げんぱつ	[n.; abbr.] nuclear power plant; nuclear power generation // [no-n.; n.; suru] primary (e.g. primary immunodeficiency syndrome)
原子力	げんしりょく	[n.; no-n.] atomic energy; nuclear power
発電所	はつでんしょ	[n.] power plant; power station
原子力発電所	げんしりょくはつでんしょ	[n.] nuclear power plant; nuclear power station
放射	ほうしゃ	[n.; suru] radiation; emission
放射性	ほうしゃせい	[n.] radioactive
物質	ぶっしつ	[n.] material; substance // [n.] matter
放射性物質	ほうしゃせいぶっしつ	[n.] radioactive material
放射線	ほうしゃせん	[n.] radiation
金属	きんぞく	[n.] metal
幅	ふく	[n.] width; breadth // [n.] freedom (e.g. of thought); latitude // [n.] gap; difference (e.g. in price); range (e.g. of voice) // [n.; sufn.; cnt.] unit of measurement for cloth breadth (30-38 cm) // [n.] scroll // [suffix; cnt.] counter for scrolls
資料	しりょう	[n.; no-n.] materials; data; document
家庭教師	かていきょうし	[n.] private tutor; coach; governess
惑星	わくせい	[n.] planet
岩石	がんせき	[n.] rock
ガス惑星		
岩石惑星		
状	さま	[n.; sufn.] shape; state // [n.] letter; correspondence // [suffix; sonkeigo] Mr.; Mrs.; Miss; Ms. // [teineigo] makes words more polite (usu. in fixed expressions) // [n.] state; situation; appearance
